game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,sacks,tackles
FOOTBALL_AF1_2026_4_17_T606163G1168206@T584637,2026-04-18,2026,2,AF1,Michigan Arsenal,Nashville Kats,,,,,,,,,40.0,40.0,0.0,0.0,1.0,40.0,1.0,,
FOOTBALL_AF1_2026_5_9_T584638G1168218@T584637,2026-05-09,2026,5,AF1,Oregon Lightning,Nashville Kats,,,,,,,,,13.0,13.0,0.0,0.0,1.0,13.0,1.0,,
FOOTBALL_AF1_2026_5_16_T612138G1168221@T584637,2026-05-16,2026,6,AF1,Oceanside Stealth,Nashville Kats,,,,,,,,,19.0,19.0,0.0,0.0,0.0,19.0,1.0,,
FOOTBALL_AF1_2026_6_13_T602555G1168396@T584637,2026-06-13,2026,10,AF1,Minnesota Monsters,Nashville Kats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,1.0,15.0,1.0,0.0,1.0
