game_id,date,season,week,league,away,home,assist_tackles,def_ast,def_sack,def_solo,def_tot,def_ydsl,sacks,solo_tackles,tackles
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,4.0,4.0,,,,
FOOTBALL_CFL_2019_2_10_MEM@BIR,2019-02-10,2019,1,CFL,MEM,BIR,,1.0,1.0,5.0,6.0,8.0,,,
FOOTBALL_CFL_2019_2_16_ARI@MEM,2019-02-16,2019,1,CFL,ARI,MEM,,,1.0,4.0,4.0,13.0,,,
FOOTBALL_CFL_2019_2_23_MEM@ORL,2019-02-23,2019,1,CFL,MEM,ORL,,2.0,,1.0,3.0,,,,
FOOTBALL_CFL_2019_3_2_SD@MEM,2019-03-02,2019,1,CFL,SD,MEM,,,,1.0,1.0,,,,
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,1.0,,,,,,,1.0,2.0
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,,,,,,1.0,1.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,,,,,,1.5,3.0,3.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,2.0,,,,,,,1.0,3.0
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,1.0,,,,,,,,1.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,1.0,,,,,,,2.0,3.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,2.0,,,,,,,,2.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,,,,,,1.0,1.0,1.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,,,,,,1.0,3.0,3.0
