game_id,date,season,week,league,away,home,1pt_conversion,conversions,dst_touchdown,passing_yards,receiving_tds,receiving_yards,receptions,rushing_yards
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,,,,27.0,2.0,
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,DC,VGS,,,,0.0,,12.0,2.0,
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,SEA,VGS,,,,,,45.0,3.0,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,VGS,DC,,,,,,33.0,4.0,
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,,,72.0,4.0,
SYNTHETIC_XFL_2023_W7_VIPERS,,2023,7,XFL,,,1.0,0.0,,,,,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,,,27.0,3.0,8.0
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,,,29.0,3.0,
FOOTBALL_XFL_2023_4_23_VGS@SEA,2023-04-23,2023,10,XFL,VGS,SEA,,,,,,119.0,2.0,
SYNTHETIC_XFL_2023_W10_VIPERS,,2023,10,XFL,,,0.0,0.0,,,,,,
SYNTHETIC_UFL_2025_W3_BRAHMAS,,2025,3,UFL,,,,,,,0.0,15.0,3.0,
SYNTHETIC_UFL_2025_W4_BRAHMAS,,2025,4,UFL,,,,,1.0,,,,,
SYNTHETIC_UFL_2025_W5_BRAHMAS,,2025,5,UFL,,,,,,,0.0,0.0,0.0,
