game_id,date,season,week,league,away,home,assist_tackles,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,,,1.0,1.0,1.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,1.0,,,1.0,2.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,3.0,,,1.0,4.0
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,0.0,0.0,,2.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,0.0,1.0,,5.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,0.0,0.0,,1.0
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,0.0,1.0,,1.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,0.0,0.0,,2.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,0.0,2.0,,6.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,0.0,0.0,,2.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,0.0,0.0,,1.0
