game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rushing_tds,rushing_yards,score_kr,score_pr,score_pts,score_tot
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,,,,,,,,,,,34.0,5.0,,117.0,,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,,,12.0,1.0,1.0,12.0,12.0,58.0,3.0,,106.0,,,,,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,,,,,,,,,111.0,4.0,1.0,187.0,,,1.0,1.0,12.0,2.0
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,,,,,,4.0,1.0,1.0,,4.0,41.0,3.0,,87.0,,,,,,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,1.0,1.0,,,,41.0,2.0,3.0,3.0,42.0,26.0,1.0,,45.0,,,,,,
SYNTHETIC_CFL_2023_W2_OTT,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,,,,,,,,,0.0,-3.0,,,,
SYNTHETIC_CFL_2024_W3_OTT,2024-06-20,2024,3,CFL,OTT,MTL,,,0.0,0.0,0.0,,,,,,,,,,0.0,6.0,,,,
SYNTHETIC_CFL_2024_W6_OTT,2024-07-14,2024,6,CFL,OTT,EDM,,,,,,,,,,,,,,,0.0,3.0,,,,
SYNTHETIC_CFL_2024_W10_OTT,2024-08-08,2024,10,CFL,SSK,OTT,,,,,,,,,,,,,,,0.0,-2.0,,,,
SYNTHETIC_CFL_2024_W11_OTT,2024-08-15,2024,11,CFL,OTT,CGY,,,1.0,9.0,1.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W13_OTT,2024-08-31,2024,13,CFL,OTT,BC,,,,,,,,,,,,,,,0.0,8.0,,,,
SYNTHETIC_CFL_2025_W2_OTT,2025-06-13,2025,2,CFL,MTL,OTT,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W16_OTT,2025-09-20,2025,16,CFL,WPG,OTT,,,,-2.0,1.0,,,,,,,,,,,,,,,
