game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,recv_gp,recv_rec,recv_td,recv_yds
SYNTHETIC_CFL_W19_OTT,2022-10-14,,19,CFL,MTL,OTT,,,1.0,53.0,3.0,,,,
SYNTHETIC_CFL_W20_OTT,2022-10-21,,20,CFL,OTT,HAM,,,0.0,37.0,3.0,,,,
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,,,,,,3.0,8.0,1.0,98.0
SYNTHETIC_CFL_2023_W4_OTT,2023-06-30,2023,4,CFL,EDM,OTT,,,0.0,30.0,2.0,,,,
SYNTHETIC_CFL_2023_W5_OTT,2023-07-08,2023,5,CFL,OTT,HAM,,,0.0,24.0,2.0,,,,
SYNTHETIC_CFL_2023_W6_OTT,2023-07-15,2023,6,CFL,WPG,OTT,,,0.0,18.0,3.0,,,,
SYNTHETIC_CFL_2023_W7_OTT,2023-07-23,2023,7,CFL,OTT,CGY,,,0.0,8.0,1.0,,,,
SYNTHETIC_CFL_2023_W9_OTT,2023-08-06,2023,9,CFL,OTT,SSK,,,0.0,13.0,1.0,,,,
SYNTHETIC_CFL_2023_W10_OTT,2023-08-13,2023,10,CFL,OTT,TOR,,,0.0,15.0,1.0,,,,
SYNTHETIC_CFL_2023_W12_OTT,2023-08-27,2023,12,CFL,OTT,EDM,,,0.0,9.0,1.0,,,,
SYNTHETIC_CFL_2023_W16_OTT,2023-09-22,2023,16,CFL,SSK,OTT,,,1.0,45.0,2.0,,,,
SYNTHETIC_CFL_2023_W17_OTT,2023-09-30,2023,17,CFL,MTL,OTT,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2023_W18_OTT,2023-10-09,2023,18,CFL,OTT,MTL,,,0.0,46.0,4.0,,,,
SYNTHETIC_CFL_2023_W19_OTT,2023-10-14,2023,19,CFL,OTT,TOR,,,0.0,11.0,1.0,,,,
SYNTHETIC_UFL_2024_W3_PANTHERS,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,1.0,0.0,25.0,1.0,,,,
SYNTHETIC_UFL_2024_W4_PANTHERS,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,,0.0,24.0,2.0,,,,
SYNTHETIC_UFL_2024_W5_PANTHERS,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,1.0,,0.0,42.0,4.0,,,,
SYNTHETIC_UFL_2024_W6_PANTHERS,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,,1.0,45.0,4.0,,,,
SYNTHETIC_UFL_2024_W7_PANTHERS,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,,0.0,5.0,1.0,,,,
SYNTHETIC_UFL_2024_W9_PANTHERS,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,0.0,95.0,8.0,,,,
SYNTHETIC_UFL_2024_W10_PANTHERS,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,1.0,110.0,7.0,,,,
SYNTHETIC_UFL_2024_W11_PANTHERS,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,1.0,60.0,4.0,,,,
SYNTHETIC_UFL_2025_W1_PANTHERS,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,0.0,35.0,3.0,,,,
SYNTHETIC_UFL_2025_W2_PANTHERS,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,0.0,44.0,3.0,,,,
SYNTHETIC_UFL_2025_W3_PANTHERS,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,,,0.0,54.0,5.0,,,,
SYNTHETIC_UFL_2025_W4_PANTHERS,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,0.0,38.0,1.0,,,,
SYNTHETIC_UFL_2025_W5_PANTHERS,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,0.0,111.0,6.0,,,,
SYNTHETIC_UFL_2025_W6_PANTHERS,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,,,0.0,19.0,2.0,,,,
SYNTHETIC_UFL_2025_W7_PANTHERS,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,0.0,86.0,5.0,,,,
SYNTHETIC_UFL_2025_W8_PANTHERS,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,0.0,26.0,1.0,,,,
SYNTHETIC_UFL_2025_W9_PANTHERS,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,1.0,115.0,5.0,,,,
SYNTHETIC_UFL_2025_W10_PANTHERS,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,0.0,0.0,0.0,,,,
