game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-12-POR-LA,2023-05-12,2023,3,AUDL,PORTLAND NITRO,LA AVIATORS,,2.0,1.0,1.0,,1.0,,,1.0,,4.0,19.0
2023-05-19-OAK-POR,2023-05-19,2023,4,AUDL,OAKLAND SPIDERS,PORTLAND NITRO,,1.0,2.0,2.0,,1.0,,,2.0,,21.0,-4.0
2023-06-02-SEA-POR,2023-06-02,2023,6,AUDL,SEATTLE CASCADES,PORTLAND NITRO,,,4.0,2.0,1.0,,,,3.0,1.0,55.0,20.0
2023-06-09-LA-POR,2023-06-09,2023,7,AUDL,LA AVIATORS,PORTLAND NITRO,,1.0,6.0,5.0,1.0,2.0,,,5.0,,53.0,40.0
2023-06-17-POR-CHI,2023-06-17,2023,8,AUDL,PORTLAND NITRO,CHICAGO UNION,,1.0,2.0,1.0,,1.0,,,1.0,,25.0,15.0
2023-06-30-COL-POR,2023-06-30,2023,10,AUDL,COLORADO SUMMIT,PORTLAND NITRO,1.0,2.0,7.0,8.0,,1.0,,,8.0,,109.0,59.0
2023-07-07-POR-SLC,2023-07-07,2023,11,AUDL,PORTLAND NITRO,SALT LAKE SHRED,0.0,,18.0,16.0,,1.0,,0.0,17.0,0.0,133.0,165.0
2023-07-08-POR-OAK,2023-07-08,2023,11,AUDL,PORTLAND NITRO,OAKLAND SPIDERS,,1.0,,,1.0,,2.0,,,,,
2023-07-14-SD-POR,2023-07-14,2023,12,AUDL,SAN DIEGO GROWLERS,PORTLAND NITRO,2.0,1.0,5.0,4.0,1.0,1.0,1.0,,4.0,,90.0,58.0
2023-07-22-POR-SEA,2023-07-22,2023,13,AUDL,PORTLAND NITRO,SEATTLE CASCADES,1.0,4.0,5.0,4.0,,1.0,,,6.0,2.0,76.0,24.0
