game_id,date,season,week,league,away,home,field_goal_yards,interceptions_lost,passing_tds,passing_yards,patkick,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
BILLINGS-OREGON,,,1,,,,,,,,,,,,,2.0,52.0,2.0,,
LIGHTNING-WOLFPACK-MAR22,,,2,,,,,,,,,,,,,2.0,81.0,5.0,,
4002611142239,,,4,,,,0.0,0.0,0.0,26.0,0.0,,,,,1.0,34.0,5.0,2.0,22.0
STORM-LIGHTNING-0330,2025-03-30,2025,3,AF1,OREGON,SW KANSAS,,,,,,,,,,0.0,84.0,5.0,,
NASHVILLE-OREGON-0404,2025-04-04,2025,4,AF1,OREGON,NASHVILLE,,,,,,,,,,4.0,62.0,6.0,,
SALINA-OREGON-0419,2025-04-19,2025,6,AF1,OREGON,SALINA,,,,,,,,,,,26.0,2.0,,
WASHINGTON-OREGON-0504,2025-05-04,2025,8,AF1,OREGON,WASHINGTON,,,,,,,,,,1.0,15.0,3.0,,
OREGON-CORPUSCHRISTI-0512,2025-05-12,2025,9,AF1,CORPUS CHRISTI,OREGON,,,,,,,,,,3.0,41.0,4.0,,
WASHINGTON-OREGON-0518,2025-05-18,2025,10,AF1,OREGON,WASHINGTON,,,,,,,,,,2.0,44.0,4.0,0.0,21.0
OREGON-BILLINGS-0601,2025-06-01,2025,12,AF1,BILLINGS,OREGON,,,,,,,,,,0.0,15.0,2.0,,
BILLINGS-OREGON-0614,2025-06-14,2025,14,AF1,OREGON,BILLINGS,,,,,,,,,,4.0,137.0,8.0,,
FOOTBALL_AF1_2026_4_12_T584638G1168203@T584641,2026-04-12,2026,1,AF1,Oregon Lightning,Washington Wolfpack,,,,,,15.0,21.0,0.0,0.0,2.0,30.0,2.0,,
FOOTBALL_AF1_2026_4_25_T584635G1168207@T584638,2026-04-26,2026,3,AF1,Albany Firebirds,Oregon Lightning,,,,,,18.0,9.0,0.0,0.0,0.0,18.0,1.0,,
FOOTBALL_AF1_2026_5_2_T584638G1168213@T606163,2026-05-02,2026,4,AF1,Oregon Lightning,Michigan Arsenal,,,,,,14.0,25.0,0.0,0.0,1.0,95.0,7.0,,
FOOTBALL_AF1_2026_5_9_T584638G1168218@T584637,2026-05-09,2026,5,AF1,Oregon Lightning,Nashville Kats,,,,,,33.0,33.0,0.0,0.0,1.0,33.0,1.0,,
FOOTBALL_AF1_2026_5_16_T584641G1168222@T584638,2026-05-17,2026,6,AF1,Washington Wolfpack,Oregon Lightning,,,,,,7.0,10.0,0.0,0.0,1.0,34.0,5.0,,
