game_id,date,season,week,league,away,home,assisted_tackles,pass_defended,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_6_6_TIOWABARNSTORMERSG202606060Q8D@TORLANDOPIRATES,2026-06-06,2026,13,IFL,Iowa Barnstormers,Orlando Pirates,2.0,,,,0.0,2.0,0.5,0.0
FOOTBALL_IFL_2026_6_13_TQUADCITYSTEAMWHEELERSG20260613M6TV@TIOWABARNSTORMERS,2026-06-13,2026,14,IFL,Quad City Steamwheelers,Iowa Barnstormers,0.0,,,,2.0,2.0,,
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,4.0,,,,2.0,6.0,,
FOOTBALL_IFL_2026_7_11_TGREENBAYBLIZZARDG20260711PZT2@TIOWABARNSTORMERS,2026-07-11,2026,18,IFL,Green Bay Blizzard,Iowa Barnstormers,4.0,,,,3.0,7.0,,
FOOTBALL_IFL_2026_7_18_TIOWABARNSTORMERSG202607188NRO@TJACKSONVILLESHARKS,2026-07-18,2026,19,IFL,Iowa Barnstormers,Jacksonville Sharks,3.0,,,,1.0,4.0,,
FOOTBALL_IFL_2026_7_24_TSANANTONIOGUNSLINGERSG20260724MW4T@TIOWABARNSTORMERS,2026-07-24,2026,20,IFL,San Antonio Gunslingers,Iowa Barnstormers,4.0,1.0,0.0,1.0,2.0,6.0,,
