game_id,date,season,week,league,away,home,fumble_recoveries,receiving_tds,receiving_yards,receptions
xiptxdmw9n9f9hb5,2026-05-02,2026,1,50 Yard,Green Bay Blizzard,Fishers Freight,0.0,1.0,73.0,
SYNTHETIC_50YARD_2026_W2_GREENBAYBLIZZARD,2026-05-08,2026,2,50YARD,Quad City Steamwheelers,Green Bay Blizzard,,,15.0,2.0
