game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pass_att,pat_att,pat_made,punt_no,punt_yds,recv_rec,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,,,11.0,,,,,,3.0,17.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,5.0,5.0,2.0,12.0,1.0,3.0,3.0,19.0,701.0,1.0,6.0
