game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,2.0,1.0,1.0,,2.0,2.0,,,,14.0,15.0,,53.0,,,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,1.0,1.0,8.0,4.0,5.0,,17.0,17.0,,,,11.0,26.0,,84.0,,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,1.0,1.0,12.0,4.0,6.0,,25.0,26.0,,,,7.0,7.0,,11.0,,,,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,24.0,5.0,5.0,,38.0,43.0,20.0,1.0,20.0,9.0,24.0,1.0,40.0,,6.0,1.0,1.0
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,7.0,2.0,3.0,,6.0,8.0,,,,18.0,18.0,,110.0,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,12.0,4.0,4.0,,28.0,30.0,,,,12.0,23.0,,71.0,,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,,3.0,4.0,1.0,56.0,58.0,,,,12.0,10.0,1.0,46.0,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,21.0,4.0,7.0,1.0,55.0,61.0,,,,7.0,23.0,,44.0,1.0,6.0,,1.0
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,1.0,1.0,26.0,3.0,4.0,,34.0,35.0,,,,6.0,15.0,,27.0,,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,,,,,,,,,,6.0,48.0,,56.0,,,,
