game_id,date,season,week,league,away,home,assists,blocks,d_points,o_points,plus_minus,touches,turnovers
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,2.0,1.0,41.0,12.0,-3.0,45.0,6.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,2.0,1.0,18.0,7.0,-3.0,38.0,6.0
