game_id,date,season,week,league,away,home,interceptions_made,points_against,sacks
SYNTHETIC_CFL_W3_EDM,,,3,CFL,,,0.0,30.0,0.0
SYNTHETIC_CFL_W4_EDM,,,4,CFL,,,2.0,25.0,3.0
SYNTHETIC_CFL_W5_EDM,,,5,CFL,,,0.0,49.0,2.0
SYNTHETIC_CFL_W6_EDM,,,6,CFL,,,2.0,31.0,1.0
SYNTHETIC_CFL_W7_EDM,,,7,CFL,,,2.0,24.0,0.0
SYNTHETIC_CFL_W9_EDM,,,9,CFL,,,0.0,46.0,1.0
SYNTHETIC_CFL_W10_EDM,,,10,CFL,,,1.0,34.0,3.0
SYNTHETIC_CFL_W11_EDM,,,11,CFL,,,0.0,12.0,2.0
SYNTHETIC_CFL_W12_EDM,,,12,CFL,,,0.0,0.0,0.0
SYNTHETIC_CFL_W13_EDM,,,13,CFL,,,0.0,0.0,0.0
SYNTHETIC_CFL_W14_EDM,,,14,CFL,,,0.0,0.0,0.0
SYNTHETIC_CFL_W15_EDM,,,15,CFL,,,0.0,24.0,8.0
SYNTHETIC_CFL_W17_EDM,,,17,CFL,,,0.0,25.0,4.0
SYNTHETIC_CFL_W18_EDM,,,18,CFL,,,1.0,48.0,0.0
SYNTHETIC_CFL_W19_EDM,,,19,CFL,,,0.0,28.0,1.0
SYNTHETIC_CFL_W20_EDM,,,20,CFL,,,1.0,31.0,0.0
SYNTHETIC_CFL_2023_W1_EDM,,2023,1,CFL,,,,17.0,2.0
SYNTHETIC_CFL_2023_W2_EDM,,2023,2,CFL,,,,22.0,1.0
SYNTHETIC_CFL_2023_W3_EDM,,2023,3,CFL,,,2.0,43.0,
SYNTHETIC_CFL_2023_W4_EDM,,2023,4,CFL,,,,26.0,1.0
SYNTHETIC_CFL_2023_W5_EDM,,2023,5,CFL,,,1.0,12.0,4.0
SYNTHETIC_CFL_2023_W6_EDM,,2023,6,CFL,,,,37.0,2.0
SYNTHETIC_CFL_2023_W7_EDM,,2023,7,CFL,,,,28.0,2.0
SYNTHETIC_CFL_2023_W8_EDM,,2023,8,CFL,,,,27.0,5.0
