game_id,date,season,week,league,away,home,def_rebounds,fg3a,fga,minutes,plus_minus,rebounds,turnovers
WNBA_202105290DAL,2021-05-29,2021,1,WNBA,PHO,DAL,,,,2.6,-2.0,,1.0
WNBA_202106110PHO,2021-06-11,2021,1,WNBA,DAL,PHO,2.0,1.0,1.0,3.283333333333333,-2.0,2.0,
WNBA_202106180LAS,2021-06-18,2021,1,WNBA,PHO,LAS,,,,0.43333333333333335,-2.0,,
