game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,4.0,1.0,1.0,4.0,4.0,,,,5.0,23.0,,35.0,,,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,33.0,1.0,1.0,33.0,33.0,23.0,2.0,39.0,,,,,,,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,3.0,2.0,3.0,2.0,6.0,,,,5.0,18.0,,36.0,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,,,,,,,1.0,,1.0,33.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,,,,24.0,1.0,24.0,,,,,,,
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,,,,23.0,1.0,23.0,,,,,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,,,,21.0,1.0,21.0,,,,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,13.0,3.0,3.0,21.0,26.0,,,,3.0,4.0,,8.0,,,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,8.0,1.0,1.0,6.0,8.0,,,,,,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,,,,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,,,,27.0,1.0,27.0,3.0,5.0,,5.0,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,,6.0,1.0,6.0,,,,,,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,,,,,,18.0,3.0,43.0,,,,,,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,,,,,,41.0,4.0,107.0,,,,,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,,,,47.0,5.0,135.0,,,,,,,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,,,,41.0,3.0,83.0,1.0,-2.0,,-2.0,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,,30.0,4.0,92.0,,,,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,,,,25.0,3.0,60.0,1.0,11.0,,11.0,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,,,,,,,4.0,21.0,,33.0,,,
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,,,,,,12.0,1.0,12.0,,,,,,,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,,,,,,,,,2.0,9.0,,9.0,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,,,,22.0,2.0,42.0,,,,,,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,34.0,1.0,1.0,34.0,34.0,31.0,7.0,131.0,1.0,10.0,,10.0,,,
