game_id,date,season,week,league,away,home,assists,fga,fouls,minutes,plus_minus,steals
WNBA_202205060CHI,2022-05-06,2022,1,WNBA,LAS,CHI,,,,0.45,,
WNBA_202205110CHI,2022-05-11,2022,1,WNBA,NYL,CHI,2.0,1.0,2.0,4.883333333333333,7.0,1.0
