game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2022_SEASON_TOTAL,,,1,,,,18.0,,,16.0,16.0,,6.0,,34.0,2.0,5.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,25.0,,,16.0,7.0,,4.0,,32.0,1.0,2.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,2.0,2.0,2.0,,0.0,2.0,,2.0,,,,2.0,2.0
