game_id,date,season,week,league,away,home,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,3.0,,35.0,45.0,3.0,253.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,11.0,4.0,,17.0,126.0,4.0,686.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,19.0,2.0,170.0,130.0,8.0,811.0
