game_id,date,season,week,league,away,home,completion_pct,interceptions,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
FOOTBALL_NAL_2025_4_3_T450150G979261@T425358,2025-04-04,2025,5,NAL,Shreveport Rouxgaroux,Idaho Horsemen,452.0,2.0,31.0,14.0,17.0,34.0,16.0,75.0,0.0,3.0,97.0,,223.0,0.0,,,,,,-1.0,5.0,2.0,0.0,0.0,-1.0
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,556.0,2.0,27.0,15.0,12.0,37.0,11.0,83.0,1.0,5.0,185.0,,167.0,10.0,,,,,,12.0,22.0,2.0,0.0,0.0,24.0
FOOTBALL_IFL_2026_3_29_TTULSAOILERSG202603294IX1@TSANANTONIOGUNSLINGERS,2026-03-29,2026,3,IFL,Tulsa Oilers,San Antonio Gunslingers,,,,,,,,,,,,,,,11.3,17.0,1.0,45.0,4.0,-5.0,0.0,1.0,,0.0,-5.0
FOOTBALL_IFL_2026_7_12_TNEWMEXICOCHUPACABRASG20260712U4S4@TNAZWRANGLERS,2026-07-12,2026,18,IFL,New Mexico Chupacabras,NAZ Wranglers,,1.0,12.0,7.0,,29.0,,,,,,1.0,80.0,,,,,,,1.0,1.0,1.0,,0.0,1.0
