game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,2.0,8.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,0.5,10.0,12.0
