game_id,date,season,week,league,away,home,assist_tackles,int_avg,int_long,int_tds,int_yards,interceptions_made,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_pts,solo_tackles
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,,,,,,,43.3,49.0,0.0,130.0,3.0,0.0,1.0,,,,,,,,,,,
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,,,,,,,51.0,56.0,0.0,153.0,3.0,0.0,1.0,,,,,,,,,,,
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,,,,,,44.2,69.0,1.0,265.0,6.0,0.0,3.0,,,,,,,,,,,
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,,,,,,48.3,61.0,1.0,290.0,6.0,0.0,2.0,,,,,,,,,,,
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,,,,,,,41.0,43.0,1.0,164.0,4.0,0.0,0.0,,,,,,,,,,,
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,,,,,,,50.7,62.0,1.0,304.0,6.0,0.0,1.0,,,,,,,,,,,
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,0.0,0.0,0.0,0.0,0.0,0.0,46.6,54.0,0.0,233.0,5.0,0.0,1.0,,,,,,,,,,,2.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,,,,,,,39.0,43.0,1.0,156.0,4.0,0.0,1.0,,,,,,,,,,,
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,,,,,,,,,,,,,,52.0,7.0,6.0,71.0,,310.0,,,,,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,,,,,,,,,,,,,,57.0,10.0,10.0,176.0,,468.0,1.0,3.0,3.0,,
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,,,,,,,,,,,,,,53.0,7.0,4.0,29.0,,305.0,,,,1.0,
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,,,,,,,,,,,,,,62.0,7.0,7.0,47.0,,320.0,,,,,
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,,,,,,,,,,,,,67.0,6.0,3.0,2.0,,260.0,,,,1.0,
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,,,,,,,,,,,,,64.0,9.0,8.0,19.0,,418.0,,,,1.0,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,,,,,,,,,,,,,,50.0,5.0,5.0,70.0,,209.0,,,,,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,,,,,,,,,,,51.0,7.0,6.0,38.0,,303.0,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,,,,,,,,,,,50.0,9.0,6.0,29.0,,383.0,,,,,
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,,,,,,,,,,,,63.0,5.0,2.0,12.0,,239.0,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,,,,,,,,,,,,,57.0,7.0,5.0,52.0,,324.0,,,,,
FOOTBALL_CFL_2021_8_27_HAM@MTL,2021-08-27,2021,1,CFL,HAM,MTL,,,,,,,,,,,,,,51.0,10.0,9.0,129.0,,467.0,,,,,
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,,,,,,,,,,,,,,55.0,4.0,3.0,7.0,,188.0,,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,,,,,,,,,,,,,,51.0,3.0,3.0,14.0,,139.0,,,,,
FOOTBALL_CFL_2021_9_3_MTL@OTT,2021-09-03,2021,1,CFL,MTL,OTT,,,,,,,,,,,,,,41.0,1.0,,,,41.0,,,,,
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,,,,,,,,,,,,52.0,5.0,5.0,58.0,,203.0,,,,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,,,,,,,,,,,,49.0,5.0,4.0,17.0,,216.0,,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,,,,,,,,,,,,56.0,3.0,3.0,52.0,,150.0,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,,,,,,,,,,,,47.0,3.0,2.0,17.0,,133.0,,,,,
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,,,,,,,,,,,,,,41.0,1.0,,,,41.0,,,,,
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,,,,,,,,,,,,61.0,3.0,3.0,59.0,,134.0,,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,,,,,,,,,,69.0,6.0,4.0,32.0,,295.0,,,,1.0,
FOOTBALL_CFL_2022_6_16_MTL@TOR,2022-06-16,2022,1,CFL,MTL,TOR,,,,,,,,,,,,,,53.0,5.0,4.0,27.0,,230.0,,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,,,,,,,,,,55.0,6.0,3.0,27.0,,279.0,,,,1.0,
FOOTBALL_CFL_2022_6_9_MTL@CGY,2022-06-09,2022,1,CFL,MTL,CGY,,,,,,,,,,,,,,55.0,6.0,5.0,55.0,,290.0,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,,,,,,,,,,,,54.0,5.0,4.0,18.0,,239.0,,,,,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,,,,,,,,,,,,,53.0,4.0,3.0,44.0,,188.0,,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,,,,,,,,,,54.0,7.0,6.0,50.0,,342.0,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,,,,,,,,,,53.0,5.0,5.0,42.0,,234.0,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,,,,,,,,,,,,57.0,6.0,5.0,55.0,,295.0,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,,,,,,,,,,65.0,6.0,4.0,24.0,,298.0,,,,1.0,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,,,,,,,,,,,,,55.0,6.0,6.0,125.0,1.0,292.0,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,,,,,,,,,,48.0,4.0,1.0,,,178.0,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,,,,,,,,,,,,,,64.0,4.0,4.0,24.0,,219.0,,,,1.0,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,,,,,,,,,,,51.0,4.0,4.0,24.0,,190.0,,,,,
