game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,minutes,plus_minus,points,rebounds,turnovers
WNBA_202306090ATL,2023-06-09,2023,1,WNBA,NYL,ATL,1.0,,0.667,3.0,2.0,0.667,3.0,2.0,,,,5.416666666666667,5.0,6.0,,
WNBA_202306110ATL,2023-06-11,2023,1,WNBA,CON,ATL,,1.0,,,,,1.0,,,,,4.7,-8.0,,1.0,1.0
WNBA_202306200DAL,2023-06-20,2023,1,WNBA,ATL,DAL,1.0,1.0,0.25,4.0,1.0,0.4,5.0,2.0,1.0,4.0,4.0,7.766666666666667,8.0,9.0,1.0,
WNBA_202306230ATL,2023-06-23,2023,1,WNBA,NYL,ATL,,,,,,1.0,1.0,1.0,,,,6.233333333333333,-5.0,2.0,,
WNBA_202306280WAS,2023-06-28,2023,1,WNBA,ATL,WAS,,,,,,,,,,,,2.95,-6.0,,,
WNBA_202307020ATL,2023-07-02,2023,1,WNBA,LAS,ATL,,,,,,,,,,,,2.15,5.0,,,
