game_id,date,season,week,league,away,home,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,interceptions_made,ret_lg,ret_num,ret_yds,sacks,score_ir,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,1.0,2.0,,2.0,,10.0,,,,,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,,4.0,,4.0,,,,,,,,,,,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,,,,2.0,,2.0,,,,,,,,,,,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,,,,2.0,,2.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,3.0,,3.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,,,,7.0,,7.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,1.0,,,1.0,1.0,1.0,40.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,,,,3.0,,3.0,,,,,,,,,,,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,1.0,,,2.0,1.0,2.0,89.0,,,,,,,1.0,6.0,1.0,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,,,,,,,,,,,,,,5.0
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,,,,,,0.0,,,,0.0,,,,1.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,,,,,,0.0,,,,0.0,,,,2.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,,,,0.0,,,,0.0,,,,2.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,,,,,,0.0,,,,0.0,,,,1.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,,,,,,,0.0,,,,0.0,,,,2.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,,,,,,,0.0,,,,0.0,,,,3.0
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,,,,,,,0.0,,,,0.0,,,,1.0
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,,,,,,,0.0,,,,0.0,,,,3.0
