game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,punt_no,punt_yds,recv_rec,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,8.0,338.0,191.0,13.0,15.0,2004.0,,,1.0,29.0,3.0,142.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,7.0,263.0,169.0,8.0,21.0,2017.0,2.0,47.0,,25.0,1.0,54.0
