game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_pr,score_pts,score_tot
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,,,,,6.0,1.0,1.0,6.0,6.0,74.0,4.0,,142.0,,,,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,,,,,,,,50.0,3.0,,106.0,,,,,,,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,,,,,,,22.0,2.0,,31.0,,,,,,,2.0,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,,,,,,,,1.0,1.0,,,17.0,2.0,,20.0,,,,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,,,,,,,18.0,3.0,,51.0,1.0,3.0,3.0,,,,,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,,,,,,,,,,,23.0,1.0,,23.0,,,,,,,,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,,,,,,11.0,1.0,1.0,11.0,11.0,32.0,2.0,,40.0,,,,,,,,
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,,,,,,,,56.0,1.0,,56.0,,,,,,,,
FOOTBALL_CFL_2019_8_23_WPG@EDM,2019-08-23,2019,1,CFL,WPG,EDM,,,,,,,,,,,,20.0,3.0,,40.0,,,,,,,,
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,,,,,,,,,,,28.0,4.0,2.0,84.0,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,,,,,,,,,,,,20.0,1.0,,20.0,,,,,,,,
FOOTBALL_CFL_2019_9_21_WPG@MTL,2019-09-21,2019,1,CFL,WPG,MTL,,,,,,,,,,,,33.0,2.0,,47.0,,,,,,,,
FOOTBALL_CFL_2019_9_27_HAM@WPG,2019-09-27,2019,1,CFL,HAM,WPG,,,,,,,,,,,,22.0,2.0,,37.0,,,,,,,,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,,,,,,,,,,17.0,1.0,1.0,17.0,,,,,,1.0,6.0,1.0
10798026,2024-06-22,2024,3,CFL,EDM,TOR,,,,0.0,14.0,1.0,,,,,,,,,,,,,,,,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,,,0.0,14.0,1.0,,,,,,,,,,,,,0.0,16.0,,,
10798036,2024-07-11,2024,6,CFL,TOR,MTL,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
10798042,2024-07-20,2024,7,CFL,TOR,HAM,,,,0.0,13.0,2.0,,,,,,,,,,,,,,,,,
10798046,2024-07-27,2024,8,CFL,WPG,TOR,,,,0.0,9.0,3.0,,,,,,,,,,,,,,,,,
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,0.0,9.0,1.0,,,,,,,,,,,,,0.0,6.0,,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,,,0.0,-7.0,1.0,,,,,,,,,,,,,,,,,
10798072,2024-09-13,2024,15,CFL,TOR,BC,,,,,,,,,,,,,,,,,,,0.0,9.0,,,
11824068,2025-07-17,2025,7,CFL,TOR,MTL,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
11824074,2025-07-26,2025,8,CFL,WPG,TOR,0.0,0.0,41.0,,,,,,,,,,,,,,,,0.0,1.0,,,
11824082,2025-08-09,2025,10,CFL,OTT,TOR,,,,0.0,10.0,2.0,,,,,,,,,,,,,,,,,
11824085,2025-08-15,2025,11,CFL,TOR,EDM,,,,,,,,,,,,,,,,,,,0.0,2.0,,,
11824090,2025-08-23,2025,12,CFL,BC,TOR,,,,0.0,-5.0,1.0,,,,,,,,,,,,,,,,,
