game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,8.0,2.0,,7.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,8.0,10.0,2.0,80.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,9.0,4.0,,37.0
