game_id,date,season,week,league,away,home,fumble_recoveries,pass_defended,sacks,tackles
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,2.5
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,,1.0,,2.0
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,VIPERS,SEA DRAGONS,,,,7.0
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,,,,3.0
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,1.0,3.0
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,1.0,,1.0
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,2.0
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,1.0,,,1.0
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,1.0
FOOTBALL_XFL_2023_4_23_VGS@SEA,2023-04-23,2023,10,XFL,VGS,SEA,,,,1.0
