game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
cricket-t20i-2023-11-15-1407868,2023-11-15,2023,1,T20I,Tanzania,Nepal,10.0,0.0,0.0,9.0,3.0,0.0,18.0,0.0,0.0,13.0,0.0,4.0,,1.0
cricket-t20i-2023-11-18-1407864,2023-11-18,2023,1,T20I,Nepal,Japan,,,,,,,18.0,0.0,0.0,11.0,0.0,1.0,1.0,1.0
cricket-t20i-2025-10-02-1505114,2025-10-02,2025,1,T20I,Malaysia,Nepal,,,,,,,24.0,1.0,0.0,21.0,2.0,2.0,,1.0
cricket-t20i-2025-10-04-1505115,2025-10-04,2025,1,T20I,Malaysia,Nepal,,,,,,,24.0,0.0,0.0,18.0,2.0,2.0,,1.0
cricket-t20i-2025-10-05-1505116,2025-10-05,2025,1,T20I,Malaysia,Nepal,3.0,0.0,0.0,9.0,3.0,0.0,18.0,0.0,0.0,16.0,0.0,3.0,,1.0
cricket-t20i-2025-10-07-1505117,2025-10-07,2025,1,T20I,Malaysia,Nepal,,,,,,,18.0,0.0,1.0,16.0,0.0,4.0,,1.0
cricket-t20i-2025-10-08-1505118,2025-10-08,2025,1,T20I,Malaysia,Nepal,,,,,,,12.0,0.0,0.0,12.0,0.0,1.0,,1.0
cricket-t20i-2026-01-18-1515211,2026-01-18,2026,1,T20I,Nepal,Thailand,2.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,11.0,0.0,0.0,,1.0
cricket-t20i-2026-01-22-1515217,2026-01-22,2026,1,T20I,Netherlands,Nepal,,,,,,,24.0,0.0,0.0,36.0,1.0,0.0,,1.0
cricket-t20i-2026-01-24-1515222,2026-01-24,2026,1,T20I,Zimbabwe,Nepal,,,,,,,12.0,0.0,0.0,10.0,0.0,2.0,,1.0
cricket-t20i-2026-04-26-1531161,2026-04-26,2026,1,T20I,Nepal,United States of America,,,,,,,6.0,0.0,0.0,13.0,0.0,0.0,,1.0
