game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,4.0,,,8.0,4.0,,4.0,,8.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,7.0,,,13.0,3.0,,18.0,,10.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,14.0,,,18.0,6.0,,14.0,,20.0,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,24.0,,,18.0,5.0,,31.0,,29.0,,,
703331825,2025-10-29,2025,1,NLL,GEORGIA,BUFFALO,3.0,3.0,3.0,,0.0,3.0,,3.0,,,3.0,3.0
