game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,12.0,11.0,2.0,144.0,116.0,6.0,731.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,,,,25.0,2.0,210.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,,,,2.0,,17.0
