game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
1-brahmas-battlehawks,2023-02-19,2023,1,XFL,BATTLEHAWKS,BRAHMAS,,1.0,,,,,,,
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,,,2.0,190.0,,12.0
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,0.0,,1.0,,,1.0,184.0,1.0,41.0
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,0.0,,2.0,2.0,1.0,4.0,262.0,,6.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,1.0,,1.0,1.0,,2.0,214.0,,-4.0
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,1.0,1.0,2.0,236.0,,12.0
SYNTHETIC_XFL_2023_W5_BATTLEHAWKS,2023-03-18,2023,5,XFL,BATTLEHAWKS,DEFENDERS,0.0,,1.0,,,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,,3.0,236.0,,18.0
SYNTHETIC_XFL_2023_W6_BATTLEHAWKS,2023-03-25,2023,6,XFL,VIPERS,BATTLEHAWKS,0.0,,1.0,,,,,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,,3.0,222.0,,5.0
SYNTHETIC_XFL_2023_W7_BATTLEHAWKS,2023-04-02,2023,7,XFL,ROUGHNECKS,BATTLEHAWKS,0.0,,1.0,,,,,,
FOOTBALL_XFL_2023_4_16_SEA@STL,2023-04-16,2023,9,XFL,SEA,STL,,,,2.0,,1.0,186.0,,1.0
SYNTHETIC_XFL_2023_W9_BATTLEHAWKS,2023-04-16,2023,9,XFL,BATTLEHAWKS,SEA DRAGONS,0.0,,0.0,,,,,,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,,6.0,420.0,,9.0
SYNTHETIC_XFL_2023_W10_BATTLEHAWKS,2023-04-22,2023,10,XFL,BATTLEHAWKS,GUARDIANS,0.0,,4.0,,,,,,
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,1.0,,,0.0,,2.0,216.0,,
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,,1.0,0.0,,2.0,248.0,0.0,2.0
12,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,,,2.0,0.0,,1.0,152.0,1.0,21.0
13,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,1.0,1.0,,3.0,222.0,0.0,23.0
19,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,1.0,,1.0,0.0,1.0,2.0,213.0,0.0,1.0
22,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,,2.0,1.0,,3.0,255.0,0.0,4.0
26,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,,,1.0,,1.0,161.0,0.0,24.0
38,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,1.0,,,1.0,,1.0,115.0,0.0,12.0
42,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,,,,0.0,,1.0,179.0,0.0,5.0
