game_id,date,season,week,league,away,home,def_tackles,gp,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,1.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,12.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,
