game_id,date,season,week,league,away,home,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
2452439,,,1,,,,5.0,1.0,0.0,2.0,2.0,7.0,0.0
2559384,,,1,,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2660095,,,1,,,,8.0,3.0,0.0,1.0,2.0,9.0,0.0
2457577,,,2,,,,5.0,1.0,0.0,3.0,0.0,8.0,0.0
2559390,,,2,,,,7.0,3.0,0.0,1.0,0.0,7.0,2.0
2463135,,,3,,,,3.0,2.0,1.0,0.0,0.0,4.0,0.0
2559396,,,3,,,,4.0,1.0,0.0,0.0,1.0,5.0,0.0
2463413,,,4,,,,11.0,0.0,1.0,1.0,0.0,8.0,0.0
2559402,,,4,,,,5.0,1.0,0.0,1.0,0.0,4.0,0.0
2463420,,,5,,,,2.0,2.0,0.0,0.0,0.0,3.0,1.0
2559408,,,5,,,,2.0,0.0,0.0,1.0,3.0,1.0,0.0
2464827,,,6,,,,5.0,2.0,0.0,1.0,1.0,10.0,0.0
2559420,,,6,,,,5.0,2.0,0.0,1.0,1.0,3.0,1.0
