game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,pim,points,sog,to
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,2.0,,,3.0,,,,2.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,3.0,,,2.0,1.0,,,4.0,,
703332113,2025-10-29,2025,1,NLL,COLORADO,VANCOUVER,2.0,2.0,2.0,,0.0,2.0,2.0,,2.0,2.0
