game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds
SYNTHETIC_USFL_2023_W1_GAMBLERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,0.0,19.0,1.0,
SYNTHETIC_USFL_2023_W3_GAMBLERS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,,0.0,6.0,1.0,
SYNTHETIC_USFL_2023_W5_GAMBLERS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,0.0,22.0,2.0,
SYNTHETIC_USFL_2023_W8_GAMBLERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,1.0,36.0,2.0,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,0.0,11.0,1.0,
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,1.0,57.0,3.0,
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,0.0,9.0,2.0,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,0.0,30.0,4.0,
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,0.0,88.0,7.0,
22,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,0.0,12.0,3.0,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,0.0,19.0,2.0,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,0.0,80.0,7.0,
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,0.0,40.0,3.0,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,0.0,7.0,1.0,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,0.0,19.0,2.0,
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,0.0,19.0,1.0,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,0.0,28.0,2.0,
52,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,0.0,18.0,2.0,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,1.0,63.0,2.0,1.0
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,0.0,35.0,4.0,
61,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,0.0,18.0,3.0,
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,0.0,32.0,5.0,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,1.0,14.0,2.0,
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,0.0,17.0,2.0,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,1.0,110.0,8.0,
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,2.0,34.0,3.0,
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,0.0,44.0,4.0,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,0.0,9.0,1.0,
90,2026-03-29,2026,1,UFL,COLUMBUS AVIATORS,ORLANDO STORM,,0.0,14.0,2.0,
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,0.0,9.0,2.0,
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,0.0,38.0,4.0,
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,1.0,50.0,4.0,
105,2026-04-26,2026,5,UFL,COLUMBUS AVIATORS,HOUSTON GAMBLERS,,0.0,7.0,1.0,
108,2026-05-01,2026,6,UFL,HOUSTON GAMBLERS,COLUMBUS AVIATORS,,0.0,24.0,2.0,
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,1.0,21.0,3.0,
118,2026-05-17,2026,8,UFL,COLUMBUS AVIATORS,BIRMINGHAM STALLIONS,,0.0,18.0,2.0,
120,2026-05-23,2026,9,UFL,BIRMINGHAM STALLIONS,COLUMBUS AVIATORS,1.0,0.0,51.0,3.0,
