game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_yds,pr_no,pr_td,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,8.0,3.0,67.0,,,,2.0,,10.0,59.0,5.0,754.0,2.0,20.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,8.0,,,,,,9.0,2.0,148.0,30.0,4.0,367.0,1.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,11.0,17.0,373.0,1.0,1.0,10.0,5.0,,113.0,89.0,13.0,1098.0,5.0,7.0
