game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,4.0,3.5,78.0,11.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,0.5,41.0,12.0
