game_id,date,season,week,league,away,home,assist_tackles,completions,conversions,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,pr_fc,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,,0.0,,,,,,0.0,,1.0,0.0,0.0,1.0,0.0,65.0,5.0,1.0,0.0,0.0,,7.0
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,,,,,,,,,,,,,0.0,0.0,12.0,3.0,1.0,0.0,11.0,,6.0
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,,,,,,,,,,,,1.0,0.0,24.0,2.0,,,,,4.0
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,,,,,,,,,,,,2.0,0.0,24.0,2.0,,,,,5.0
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,,,,,,,,,,,,,0.0,0.0,15.0,2.0,1.0,0.0,3.0,,3.0
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,,,,,,,,,,,,,3.0,0.0,13.0,2.0,,,,,4.0
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,,,,,,,,,,,,,2.0,0.0,13.0,1.0,1.0,0.0,0.0,,3.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,2.0,0.0,48.0,5.0,,,,1.0,8.0
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,,,,,,,,,,,,,0.0,24.0,4.0,,,,,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,,,,,,,,,,,,0.0,7.0,2.0,,,,,
53,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,,,,,,,,,,,,,,0.0,26.0,4.0,,0.0,4.0,,
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,,,,,,,,,,,1.0,20.0,3.0,,,,,
72,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,,,,,,,,,,,,0.0,5.0,1.0,,,,,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,,,,,,,,,,,,,0.0,34.0,3.0,,,,,
89,2026-03-28,2026,1,UFL,HOUSTON GAMBLERS,DALLAS RENEGADES,,,,,,,,,,,,,,1.0,93.0,3.0,,,,,
94,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,,1.0,,,,,,,,,,,1.0,12.0,1.0,,,,,
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,,,,,,,,,,,,,0.0,5.0,1.0,,,,,
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,,,,,,,,,,,,,0.0,13.0,1.0,,0.0,-1.0,,
106,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,,,,,,,,,,1.0,74.0,,0.0,5.0,1.0,,0.0,9.0,,
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,,,,,,,,,,,,0.0,24.0,2.0,,,,,
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,,,,,,,,,,,,,0.0,35.0,4.0,,0.0,7.0,,
115,2026-05-15,2026,8,UFL,ORLANDO STORM,DALLAS RENEGADES,,,,,,,,,,,,,,0.0,13.0,1.0,,,,,
121,2026-05-24,2026,9,UFL,DALLAS RENEGADES,LOUISVILLE KINGS,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
