game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,pim,points,pp_assists,sog,to
NLL_2022_SEASON_TOTAL,,,1,,,,5.0,,,4.0,4.0,,,9.0,,,
NLL_2023_SEASON_TOTAL,,,1,,,,16.0,,,14.0,13.0,,,29.0,1.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,1.0,1.0,1.0,,0.0,1.0,1.0,,,1.0,1.0
