game_id,date,season,week,league,away,home,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_2022_W1_NJ,,2022,1,USFL,,,,,0.0,9.0,1.0
SYNTHETIC_USFL_2022_W2_NJ,,2022,2,USFL,,,,,0.0,12.0,1.0
SYNTHETIC_USFL_2022_W3_NJ,,2022,3,USFL,,,,,0.0,48.0,1.0
SYNTHETIC_USFL_2022_W4_NJ,,2022,4,USFL,,,,,0.0,22.0,2.0
SYNTHETIC_USFL_2022_W5_NJ,,2022,5,USFL,,,,,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W6_NJ,,2022,6,USFL,,,,0.0,0.0,22.0,3.0
SYNTHETIC_USFL_2022_W7_NJ,,2022,7,USFL,,,,,0.0,4.0,1.0
SYNTHETIC_USFL_2022_W8_NJ,,2022,8,USFL,,,,,0.0,7.0,1.0
SYNTHETIC_USFL_2022_W9_NJ,,2022,9,USFL,,,,,0.0,5.0,1.0
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,0.0,0.0,0.0
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,1.0,,0.0,16.0,1.0
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,,0.0,11.0,1.0
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,0.0,21.0,1.0
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,0.0,0.0,0.0
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,0.0,12.0,1.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,0.0,1.0,1.0
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,0.0,0.0,0.0
