game_id,date,season,week,league,away,home,def_tackles,gp,punt_no,punt_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,6.0,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,6.0,1.0,22.0,2.0,5.0
