game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,12.0,359.0,221.0,14.0,17.0,2557.0,85.0,8.0,721.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,5.0,139.0,78.0,5.0,5.0,722.0,38.0,2.0,251.0
