game_id,date,season,week,league,away,home,def_tackles,gp,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,10.0,,,,,,,22.0,3.0,450.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,5.0,12.0,18.0,1.0,,1.0,,,47.0,9.0,687.0,1.0,2.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,,2.0,1.0,,1.0,28.0,47.0,7.0,863.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,,,,,,,71.0,13.0,854.0,4.0,46.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,,,,,,,58.0,13.0,921.0,,
