game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,42.0,,,12.0,31.0,,8.0,,73.0,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,41.0,,,17.0,36.0,,6.0,,77.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,60.0,,,18.0,33.0,,18.0,,93.0,18.0,4.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,53.0,,,18.0,30.0,,12.0,,83.0,12.0,6.0,,
703331825,2025-10-29,2025,1,NLL,GEORGIA,BUFFALO,2.0,2.0,2.0,,4.0,2.0,,2.0,,,,2.0,2.0
