game_id,date,season,week,league,away,home,assists,blocks,drops,goals,interceptions_made,sacks,tackles,throwaways,yardsReceived,yardsThrown
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,,0.0,0.0,1.0,,,
2026-04-25-CAR-LV,2026-04-25,2026,1,UFA,flyers,bighorns,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0
2026-05-08-ATL-LV,2026-05-08,2026,3,UFA,hustle,bighorns,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2026-05-15-LV-HTX,2026-05-15,2026,4,UFA,bighorns,havoc,0.0,0.0,0.0,0.0,,,,0.0,23.0,1.0
2026-05-16-LV-ATX,2026-05-16,2026,4,UFA,bighorns,sol,0.0,0.0,0.0,0.0,,,,0.0,4.0,9.0
2026-05-23-SD-LV,2026-05-23,2026,5,UFA,growlers,bighorns,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2026-06-06-ATX-LV,2026-06-06,2026,7,UFA,sol,bighorns,0.0,3.0,0.0,0.0,,,,0.0,17.0,-10.0
2026-06-13-MIN-LV,2026-06-13,2026,8,UFA,windchill,bighorns,0.0,1.0,0.0,1.0,,,,0.0,68.0,25.0
2026-06-19-LV-ATL,2026-06-19,2026,9,UFA,bighorns,hustle,0.0,1.0,0.0,0.0,,,,0.0,14.0,19.0
2026-06-20-LV-CAR,2026-06-20,2026,9,UFA,bighorns,flyers,0.0,0.0,1.0,1.0,,,,0.0,5.0,4.0
2026-06-26-HTX-LV,2026-06-26,2026,10,UFA,havoc,bighorns,0.0,2.0,0.0,1.0,,,,0.0,64.0,22.0
