game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,interceptions,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,,,,,,,,1.0,0.0,0.0,20.0,15.0,27.0,3.0,154.0,,,,,,,2.7,9.0,10.0,2.0,27.0,,,,
FOOTBALL_NAL_2026_4_4_T566773G1127151@T581933,2026-04-05,2026,5,NAL,Amarillo Warbirds,Dallas Bulls,,,,,,,,,,,,,,,,10.0,13.0,0.0,0.0,40.0,4.0,,,,,,,,,
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,,,,,,,,,,1.0,14.0,4.0,18.0,0.0,46.0,,,,,,,4.7,21.0,18.0,2.0,85.0,,,,
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,10.0,14.0,0.0,1.0,38.0,4.0,,,,,,0.0,0.0,,1.0
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,10.0,23.0,0.0,1.0,30.0,3.0,,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,,,,,,,,1.0,1.0,0.0,30.0,14.0,36.0,2.0,183.0,,,,,,,2.3,8.0,4.0,1.0,9.0,,,,
FOOTBALL_IFL_2026_5_30_TNAZWRANGLERSG20260530ZDI0@TARIZONARATTLERS,2026-05-30,2026,12,IFL,NAZ Wranglers,Arizona Rattlers,2.0,,,,,,,,,2.0,27.0,16.0,22.0,2.0,147.0,,,,,,,0.7,4.0,3.0,1.0,2.0,,,0.0,2.0
FOOTBALL_IFL_2026_6_7_TVEGASKNIGHTHAWKSG202606072NRX@TNAZWRANGLERS,2026-06-07,2026,13,IFL,Vegas Knight Hawks,NAZ Wranglers,,,,,,,,,,0.0,27.0,16.0,43.0,6.0,171.0,,,,,,,6.5,24.0,14.0,2.0,91.0,,,,
FOOTBALL_IFL_2026_6_14_TSANDIEGOSTRIKEFORCEG20260614SGPF@TNAZWRANGLERS,2026-06-14,2026,14,IFL,San Diego Strike Force,NAZ Wranglers,,,,,,,,,,2.0,24.0,14.0,24.0,2.0,126.0,,,,,,,3.4,13.0,10.0,1.0,34.0,,,,
