game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,drops,goals,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_MECHANIX,,,1,AUDL,,,0.0,1.0,,,,0.0,1.0,,,1.0,58.0,0.0
SYNTHETIC_AUDL_W2_MECHANIX,,,2,AUDL,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_MECHANIX,,,3,AUDL,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-02-MIN-DET,2022-07-02,2022,6,,MIN,DET,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-09-DET-PIT,2022-07-09,2022,7,AUDL,mechanix,thunderbirds,0.0,0.0,,,,0.0,2.0,,,0.0,29.0,0.0
2022-07-16-MAD-DET,2022-07-16,2022,8,AUDL,radicals,mechanix,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-30-DET-CHI,2022-07-30,2022,10,AUDL,mechanix,union,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-31-DET-MIN,2022-07-31,2022,10,AUDL,mechanix,windchill,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0
2023-06-10-CHI-IND,2023-06-10,2023,7,AUDL,CHICAGO UNION,INDIANAPOLIS ALLEYCATS,,,,,,,,6.0,,,,
2023-06-23-DET-CHI,2023-06-23,2023,9,AUDL,DETROIT MECHANIX,CHICAGO UNION,,1.0,,3.0,2.0,,,9.0,3.0,1.0,36.0,-3.0
2023-06-24-CHI-DET,2023-06-24,2023,9,AUDL,CHICAGO UNION,DETROIT MECHANIX,,,1.0,,,,1.0,,,,,
2023-07-07-CHI-PIT,2023-07-07,2023,11,AUDL,CHICAGO UNION,PITTSBURGH THUNDERBIRDS,,,,,,,,7.0,,,,
2023-07-08-PIT-CHI,2023-07-08,2023,11,AUDL,PITTSBURGH THUNDERBIRDS,CHICAGO UNION,,,,1.0,1.0,,,,1.0,,2.0,1.0
2023-07-15-CHI-MIN,2023-07-15,2023,12,AUDL,CHICAGO UNION,MINNESOTA WIND CHILL,,1.0,,3.0,2.0,,1.0,5.0,3.0,1.0,18.0,2.0
