game_id,date,season,week,league,away,home,kick_returns,kr_long,kr_yards,lost_fumbles,receiving_tds,receiving_yards,receptions,targets
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,,,,,1.0,45.0,5.0,3.0
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,,,,,,50.0,4.0,1.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,2.0,28.0,53.0,,,41.0,6.0,1.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,1.0,18.0,18.0,,,53.0,6.0,2.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,,,,,31.0,3.0,2.0
SYNTHETIC_USFL_2022_W6_PHI,,2022,6,USFL,,,,,,0.0,,,,
