game_id,date,season,week,league,away,home,extra_point,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,made_19,made_29,made_39,made_49,made_50,missed,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm,xp_att_game
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
FOOTBALL_AAF_2019_3_2_ORL@SL,2019-03-02,2019,4,AAF,ORL,SL,,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
FOOTBALL_AAF_2019_3_16_MEM@SL,2019-03-16,2019,6,AAF,MEM,SL,,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,,0.0,0.0,1.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
FOOTBALL_CFL_2021_10_11_TOR@HAM,2021-10-11,2021,1,CFL,TOR,HAM,,,,,,,,,,,,,,,,,,,66.0,6.0,6.0,111.0,374.0,10.0,3.0,3.0,28.0,10.0,2.0,1.0,
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,,,,,,,,,,,,,,,,,,,66.0,5.0,5.0,88.0,305.0,6.0,1.0,1.0,29.0,6.0,3.0,3.0,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,,,,,,,,,,,,,,,59.0,5.0,4.0,62.0,266.0,15.0,5.0,3.0,47.0,13.0,4.0,4.0,
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,,,,,,,,,,,,,,,,,,,76.0,1.0,1.0,23.0,76.0,12.0,5.0,4.0,55.0,12.0,,,
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,37.0,2.0,2.0,7.0,44.0,4.0,3.0,1.0,27.0,3.0,,,
FOOTBALL_CFL_2021_11_5_BC@HAM,2021-11-05,2021,1,CFL,BC,HAM,,,,,,,,,,,,,,,,,,,71.0,4.0,4.0,51.0,232.0,11.0,4.0,3.0,39.0,11.0,2.0,2.0,
FOOTBALL_CFL_2021_8_14_HAM@SSK,2021-08-14,2021,1,CFL,HAM,SSK,,,,,,,,,,,,,,,,,,,67.0,2.0,2.0,40.0,134.0,1.0,2.0,,,1.0,1.0,1.0,
FOOTBALL_CFL_2021_8_5_HAM@WPG,2021-08-05,2021,1,CFL,HAM,WPG,,,,,,,,,,,,,,4.0,1.0,1.0,4.0,4.0,69.0,3.0,3.0,77.0,194.0,,,,,,,,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,,,,,,,,,,,,,,,,64.0,3.0,3.0,39.0,188.0,15.0,5.0,5.0,49.0,15.0,,,
FOOTBALL_CFL_2021_9_22_HAM@OTT,2021-09-22,2021,1,CFL,HAM,OTT,,,,,,,,,,,,,,,,,,,66.0,6.0,6.0,113.0,368.0,12.0,6.0,3.0,50.0,11.0,2.0,2.0,
SYNTHETIC_USFL_2022_W4_NO,,2022,4,USFL,,,2.0,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W5_NO,,2022,5,USFL,,,2.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W6_NO,,2022,6,USFL,,,2.0,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W7_NO,,2022,7,USFL,,,3.0,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W8_NO,,2022,8,USFL,,,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W9_NO,,2022,9,USFL,,,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W10_NO,,2022,10,USFL,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W11_NO,,2022,11,USFL,,,2.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
