game_id,date,season,week,league,away,home,assist_tackles,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,targets
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,,,,,14.0,1.0,37.0,,,
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,,0.0,25.0,2.0,13.0,1.0,74.0,,,2.0
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,0.0,-5.0,1.0,9.0,0.0,27.0,,,1.0
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,0.0,3.0,1.0,30.0,0.0,142.0,,,2.0
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,,0.0,43.0,1.0,12.0,1.0,25.0,,,1.0
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,,0.0,1.0,2.0,9.0,1.0,35.0,,,2.0
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,,0.0,8.0,3.0,8.0,0.0,4.0,,,3.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,,0.0,20.0,2.0,11.0,0.0,28.0,,,3.0
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,1.0,,14.0,4.0,7.0,,41.0,,1.0,1.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,,10.0,,45.0,1.0,1.0,
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,,1.0,25.0,3.0,6.0,,14.0,,,1.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,,,14.0,2.0,5.0,1.0,26.0,1.0,1.0,1.0
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,,,,,10.0,,30.0,1.0,1.0,
SYNTHETIC_XFL_2023_W3_RENEGADES,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,,,,,,17.0,,,
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,,8.0,2.0,,,14.0,,,
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,,,,37.0,,,
