game_id,date,season,week,league,away,home,award_mvp
FOOTBALL_XLEAGUE_1997_SEASON_TOTAL,,1997,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2000_SEASON_TOTAL,,2000,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2001_SEASON_TOTAL,,2001,1,XLEAGUE,,,1.0
