game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,pass_defended,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,,,,,,,,,4.0,4.0,0.0,1.0,4.0,1.0,,,,,,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_3_29_TTULSAOILERSG202603294IX1@TSANANTONIOGUNSLINGERS,2026-03-29,2026,3,IFL,Tulsa Oilers,San Antonio Gunslingers,2.0,,,,,,,,,,,,,,0.0,1.0,,5.0,7.0,0.5,1.0
FOOTBALL_IFL_2026_4_12_TTULSAOILERSG20260412T2GX@TORLANDOPIRATES,2026-04-12,2026,5,IFL,Tulsa Oilers,Orlando Pirates,0.0,,,,,,,,,,,,,,,,,2.0,2.0,,
FOOTBALL_IFL_2026_5_2_TSANDIEGOSTRIKEFORCEG20260502S5MS@TTULSAOILERS,2026-05-02,2026,8,IFL,San Diego Strike Force,Tulsa Oilers,1.0,,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,1.0,,,,,,,,,,,,,,,,,2.0,3.0,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,4.0,,,,,,,,,,,,,,5.0,1.0,,2.0,6.0,1.5,0.0
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,0.0,,,,,,,1.0,,,,,,,3.0,1.0,,2.0,2.0,1.0,0.0
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,1.0,,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,0.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,0.0,,,,,,,1.0,,,,,,,,,,0.0,0.0,,
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_7_18_TQUADCITYSTEAMWHEELERSG20260718WOHW@TTULSAOILERS,2026-07-18,2026,19,IFL,Quad City Steamwheelers,Tulsa Oilers,3.0,,,,,,,,,,,,,,1.0,0.5,,6.0,9.0,1.5,0.0
