game_id,date,season,week,league,away,home,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,xp_att_game
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,0.0,2.0,1.0,1.0,0.0,4.0,0.0
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,0.0,1.0,1.0,0.0,0.0,2.0,0.0
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,0.0,0.0,1.0,0.0,0.0,1.0,0.0
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,0.0,1.0,0.0,1.0,0.0,2.0,0.0
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,0.0,1.0,0.0,0.0,0.0,1.0,0.0
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,0.0,1.0,2.0,0.0,0.0,3.0,0.0
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,,,1.0,,,1.0,
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,,,,1.0,,1.0,
