game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,1.0,0.0,13.0,1.0,0.0,8.0
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,0.0,16.0,1.0,,
10,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,0.0,0.0,0.0,,
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,1.0,82.0,4.0,,
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,0.0,17.0,1.0,,
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,0.0,12.0,1.0,,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,1.0,16.0,2.0,,
34,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,0.0,35.0,3.0,,
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,0.0,4.0,1.0,,
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,1.0,11.0,3.0,0.0,2.0
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,1.0,0.0,0.0,0.0,0.0,11.0
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,0.0,6.0,1.0,,
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,0.0,42.0,3.0,,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,0.0,0.0,0.0,,
64,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,1.0,55.0,3.0,,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,0.0,4.0,1.0,,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,0.0,32.0,2.0,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,1.0,36.0,4.0,0.0,6.0
