game_id,date,season,week,league,away,home,def_ff,def_fr,def_pd,def_sacks,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,,0.5,1.0,4.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,1.0,0.5,10.0,10.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,,5.0,55.0,11.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,3.0,3.0,48.0,12.0,1.0,8.0
