game_id,date,season,week,league,away,home,conversions,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2024_W20_HAM,2024-10-18,2024,20,CFL,CGY,HAM,,,,,,2.0,128.0,5.0,0.0,0.0,,
SYNTHETIC_CFL_2024_W21_HAM,2024-10-25,2024,21,CFL,HAM,OTT,,,,,,0.0,38.0,2.0,,,,
SYNTHETIC_CFL_2025_W1_HAM,2025-06-07,2025,1,CFL,HAM,CGY,,,,,,0.0,69.0,6.0,0.0,14.0,,
SYNTHETIC_CFL_2025_W2_HAM,2025-06-14,2025,2,CFL,SSK,HAM,,,,,,1.0,22.0,3.0,,,,
SYNTHETIC_CFL_2025_W4_HAM,2025-06-27,2025,4,CFL,MTL,HAM,,,,,,1.0,78.0,9.0,,,,
SYNTHETIC_CFL_2025_W5_HAM,2025-07-04,2025,5,CFL,HAM,TOR,,,,,,0.0,30.0,2.0,,,,
SYNTHETIC_CFL_2025_W6_HAM,2025-07-12,2025,6,CFL,OTT,HAM,,,,,,0.0,60.0,4.0,,,,
SYNTHETIC_CFL_2025_W7_HAM,2025-07-20,2025,7,CFL,HAM,OTT,,,,,,0.0,89.0,8.0,,,,
SYNTHETIC_CFL_2025_W8_HAM,2025-07-27,2025,8,CFL,HAM,BC,,,,,,0.0,86.0,6.0,,,,
SYNTHETIC_CFL_2025_W9_HAM,2025-08-02,2025,9,CFL,HAM,EDM,,,,,,2.0,78.0,7.0,,,,
SYNTHETIC_CFL_2025_W10_HAM,2025-08-07,2025,10,CFL,BC,HAM,,,,,,0.0,84.0,5.0,0.0,2.0,,
SYNTHETIC_CFL_2025_W11_HAM,2025-08-16,2025,11,CFL,HAM,SSK,,,,,,0.0,11.0,1.0,,,,
SYNTHETIC_CFL_2025_W13_HAM,2025-09-01,2025,13,CFL,TOR,HAM,,,,,,0.0,31.0,3.0,,,,
SYNTHETIC_CFL_2025_W14_HAM,2025-09-06,2025,14,CFL,HAM,MTL,,,,,,0.0,26.0,4.0,0.0,42.0,,
SYNTHETIC_CFL_2025_W15_HAM,2025-09-12,2025,15,CFL,WPG,HAM,,,,,,1.0,64.0,5.0,,,,
SYNTHETIC_CFL_2025_W16_HAM,2025-09-20,2025,16,CFL,EDM,HAM,,,,,,,84.0,5.0,,15.0,,
SYNTHETIC_CFL_2025_W17_HAM,2025-09-27,2025,17,CFL,HAM,WPG,,,,,,0.0,18.0,2.0,,,,
SYNTHETIC_CFL_2025_W18_HAM,2025-10-04,2025,18,CFL,HAM,TOR,,,,,,0.0,13.0,2.0,,,,
SYNTHETIC_CFL_2025_W19_HAM,2025-10-11,2025,19,CFL,CGY,HAM,,,,,,0.0,104.0,8.0,,,,
SYNTHETIC_CFL_2025_W21_HAM,2025-10-24,2025,21,CFL,OTT,HAM,,,,,,2.0,69.0,4.0,0.0,17.0,,
