game_id,date,season,week,league,away,home,pr_fc,pr_long,pr_yards,punt_returns,receiving_tds,receiving_yards,receptions,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_9_STL@DAL,2020-02-09,2020,1,XFL,STL,DAL,,,,,,43.0,6.0,,,3.0
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,1.0,38.0,38.0,1.0,,13.0,2.0,1.0,1.0,1.0
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,,26.0,36.0,3.0,1.0,39.0,5.0,,,4.0
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,2.0,,,,,76.0,6.0,1.0,1.0,3.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,1.0,13.0,23.0,2.0,,46.0,7.0,,,3.0
