game_id,date,season,week,league,away,home,1pt_conversion,assist_tackles,conversions,int_avg,int_long,int_tds,int_yards,interceptions_made,receiving_tds,receiving_yards,receptions,solo_tackles,targets
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,,,,,,,,,0.0,3.0,1.0,,1.0
FOOTBALL_AAF_2019_2_23_MEM@ORL,2019-02-23,2019,3,AAF,MEM,ORL,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,1.0,
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,,,,,,,,,0.0,0.0,0.0,,1.0
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,,,,,,,,,0.0,59.0,2.0,,3.0
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,,,,,,1.0,3.0,1.0,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,,,,,,10.0,2.0,,
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,,,,,,1.0,46.0,3.0,,
SYNTHETIC_XFL_2023_W7_VIPERS,2023-04-01,2023,7,XFL,VIPERS,BRAHMAS,0.0,,1.0,,,,,,,,,,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,,,,,,,7.0,1.0,,
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,,,,,,1.0,4.0,1.0,,
SYNTHETIC_XFL_2023_W9_VIPERS,2023-04-15,2023,9,XFL,ROUGHNECKS,VIPERS,0.0,,0.0,,,,,,,,,,
