game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,5.0,2.0,12.0,31.0,18.0,31.0,1125.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,13.0,7.0,10.0,14.0,7.0,15.0,571.0,2.0,36.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,13.0,12.0,12.0,39.0,25.0,1.0,8.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,9.0,4.0,11.0,7.0,5.0,21.0,763.0,2.0,
