game_id,date,season,week,league,away,home,blocks,catches,completions,drops,goals,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,1.0,,1.0,,,,1.0,,,
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,1.0,2.0,1.0,,1.0,,1.0,,17.0,-1.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,,3.0,2.0,1.0,1.0,,2.0,,84.0,-12.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,1.0,5.0,4.0,,1.0,,4.0,,51.0,-19.0
2023-06-23-DET-CHI,2023-06-23,2023,9,,DET,CHI,,1.0,1.0,,,1.0,1.0,,44.0,4.0
2023-06-24-CHI-DET,2023-06-24,2023,9,,CHI,DET,1.0,,,,,,,,,
2023-07-08-MAD-DET,2023-07-08,2023,11,,MAD,DET,,2.0,,,1.0,,1.0,0.0,57.0,
2023-07-15-TOR-DET,2023-07-15,2023,12,,TOR,DET,1.0,3.0,1.0,,1.0,,3.0,1.0,13.0,-5.0
2023-07-22-DET-MAD,2023-07-22,2023,13,,DET,MAD,,2.0,4.0,,,,4.0,,31.0,21.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,2.0,,,,,,,,,
