game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W1_OUTLAWS,,2022,1,AUDL,,,0.0,0.0,,,0.0,1.0,,2.0,74.0,115.0
SYNTHETIC_AUDL_2022_W2_OUTLAWS,,2022,2,AUDL,,,3.0,1.0,,,1.0,1.0,,1.0,327.0,159.0
2022-06-17-OTT-BOS,2022-06-17,2022,4,,OTT,BOS,0.0,0.0,,,3.0,1.0,,0.0,60.0,10.0
2022-06-18-OTT-NY,2022-06-18,2022,4,,OTT,NY,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
2022-07-02-TOR-OTT,2022-07-02,2022,6,,TOR,OTT,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
2022-07-07-OTT-MTL,2022-07-07,2022,7,AUDL,outlaws,royal,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
2022-07-16-DC-OTT,2022-07-16,2022,8,AUDL,breeze,outlaws,2.0,0.0,,,0.0,1.0,,1.0,52.0,133.0
2022-07-29-OTT-DC,2022-07-29,2022,10,AUDL,outlaws,breeze,4.0,1.0,,,0.0,0.0,,0.0,164.0,266.0
2022-07-30-OTT-PHI,2022-07-30,2022,10,AUDL,outlaws,phoenix,1.0,1.0,,,0.0,3.0,,1.0,208.0,95.0
2023-05-20-BOS-MTL,2023-05-20,2023,4,AUDL,BOSTON GLORY,MONTREAL ROYAL,1.0,,4.0,2.0,,,4.0,2.0,51.0,14.0
2023-06-11-BOS-MTL,2023-06-11,2023,7,AUDL,BOSTON GLORY,MONTREAL ROYAL,,,2.0,2.0,,,3.0,1.0,82.0,10.0
