game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,punt_no,punt_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.5,29.0,6.0,,,,,,,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,12.0,311.0,193.0,6.0,29.0,2135.0,1.0,45.0,112.0,9.0,676.0
