game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,pass_defended,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2026_3_13_T600414G1127142@T573852,2026-03-14,2026,2,NAL,Southwest Kansas Storm,Louisiana Rouxgaroux,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.0,,0.0
FOOTBALL_IFL_2026_4_11_TSANDIEGOSTRIKEFORCEG202604116LJB@TTUCSONSUGARSKULLS,2026-04-11,2026,5,IFL,San Diego Strike Force,Tucson Sugar Skulls,2.0,,,,,,,,,,1.0,,,2.0,4.0
FOOTBALL_IFL_2026_4_19_TNEWMEXICOCHUPACABRASG20260419817Y@TTUCSONSUGARSKULLS,2026-04-19,2026,6,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,0.0,,,,,,,,,,4.0,,,4.0,4.0
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,1.0,,,,,,,,,,1.0,,,3.0,4.0
FOOTBALL_NAL_2026_4_25_T600414G1127162@T600411,2026-04-25,2026,8,NAL,Southwest Kansas Storm,Salina Liberty,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_5_30_TORLANDOPIRATESG20260530J4E8@TTUCSONSUGARSKULLS,2026-05-30,2026,12,IFL,Orlando Pirates,Tucson Sugar Skulls,0.0,1.0,,,0.0,,,42.0,42.0,42.0,,,,3.0,3.0
FOOTBALL_IFL_2026_6_7_TNEWMEXICOCHUPACABRASG20260607JMSK@TTUCSONSUGARSKULLS,2026-06-07,2026,13,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,0.0,,,,,,,,,,,,,2.0,2.0
FOOTBALL_IFL_2026_6_13_TTUCSONSUGARSKULLSG20260613XZNU@TVEGASKNIGHTHAWKS,2026-06-13,2026,14,IFL,Tucson Sugar Skulls,Vegas Knight Hawks,0.0,,,,,,,,,,,,,5.0,5.0
FOOTBALL_IFL_2026_6_20_TARIZONARATTLERSG20260620GMCA@TTUCSONSUGARSKULLS,2026-06-20,2026,15,IFL,Arizona Rattlers,Tucson Sugar Skulls,0.0,1.0,,,0.0,1.0,,21.0,21.0,21.0,,,,4.0,4.0
